t_index	term	df
6603	libyan	3
6604	licens	19
6605	lid	1
6606	lida	1
6607	lie	45
6608	lieberman	26
6609	lien	1
6610	lieuten	14
6611	lieutenantcaptain	1
6612	life	132
6613	lifeless	1
6614	lifelong	1
6615	lifestyl	2
6616	lifetim	4
6617	lift	81
6618	light	45
6619	lightblu	1
6620	lightbrown	2
6621	lightbulb	1
6622	lighter	2
6623	lightheartedli	2
6624	lightli	4
6625	lightn	4
6626	like	4
6627	likelihood	3
6628	liken	1
6629	likin	2
6630	lilic	1
6631	lima	33
6632	limb	12
6633	lime	4
6634	limit	37
6635	limousin	10
6636	limp	5
6637	limpli	1
6638	lincoln	7
6639	linda	7
6640	lindenhurt	2
6641	lindi	1
6642	lindsay	41
6643	lindsey	2
6644	line	65
6645	lineman	1
6646	liner	1
6647	lineup	4
6648	linger	16
6649	linguist	1
6650	link	83
6651	lion	1
6652	lionel	1
6653	lioniz	1
6654	lip	2
6655	lipent	1
6656	lippin	1
6657	lippold	18
6658	liquid	2
6659	lir	1
6660	lisa	17
6661	lisnard	2
6662	list	97
6663	listen	28
6664	lister	1
6665	lists	1
6666	lit	7
6667	liter	12
6668	literaci	1
6669	literatur	2
6670	lith	1
6671	liton	1
6672	litter	3
6673	littleknown	2
6674	litton	6
6675	littor	1
6676	liturgi	1
6677	liv	1
6678	live	215
6679	liveliest	1
6680	liver	1
6681	llagostera	3
6682	lleyton	7
6683	llosa	3
6684	lloyd	3
6685	lo	16
6686	load	50
6687	loader	5
6688	loan	22
6689	loayza	2
6690	lob	8
6691	lobbi	7
6692	lobbyist	1
6693	lobito	2
6694	local	100
6695	locani	2
6696	locat	49
6697	lock	19
6698	locker	1
6699	lockerbi	2
6700	lockup	1
6701	locu	1
6702	lodg	1
6703	loft	2
6704	lofti	2
6705	loftiest	1
6706	log	6
6707	logic	5
6708	logist	12
6709	logvinovich	1
6710	lohna	1
6711	loi	1
6712	loit	1
6713	london	26
6714	londonbas	7
6715	lone	8
6716	longabandon	2
6717	longbitt	1
6718	longerterm	2
6719	longestsought	1
6720	longestsurviv	1
6721	longev	1
6722	longhair	1
6723	longplan	1
6724	longrang	1
6725	longreach	1
6726	longres	2
6727	longrul	2
6728	longshot	2
6729	longsimm	2
6730	longstand	8
6731	longsuff	1
6732	longsuppress	1
6733	longterm	9
6734	longtim	30
6735	look	38
6736	lookout	3
6737	lookse	1
6738	loom	7
6739	loop	1
6740	loophol	2
6741	loos	23
6742	looseend	1
6743	loosen	7
6744	looser	2
6745	loot	11
6746	lopez	6
6747	lopsid	4
6748	loran	6
6749	lord	6
6750	lore	1
6751	lorensen	1
6752	lorenzo	6
6753	lori	1
6754	loron	2
6755	lorri	1
6756	lose	79
6757	loser	7
6758	loss	62
6759	lost	150
6760	lot	132
6761	lott	6
6762	lotteri	1
6763	lou	1
6764	loud	13
6765	loudli	1
6766	loudspeak	9
6767	loug	1
6768	loui	65
6769	louisarea	1
6770	louisiana	6
6771	louisvil	4
6772	lourd	1
6773	lousi	3
6774	love	49
6775	low	36
6776	lowcut	2
6777	lowel	3
6778	lower	24
6779	lowerlevel	1
6780	lowerrank	1
6781	lowest	4
6782	lowestseed	1
6783	lowgrad	4
6784	lowincom	2
6785	lowkey	3
6786	lowlevel	6
6787	lowprofil	2
6788	lowtech	2
6789	loyal	16
6790	loyalist	17
6791	loyalti	8
6792	lsd	1
6793	lt	53
6794	lubbock	1
6795	luci	1
6796	lucia	2
6797	luciano	1
6798	lucio	2
6799	luck	4
6800	lucki	20
6801	luckier	1
6802	luckiest	3
6803	lucr	2
6804	ludwig	1
6805	lugar	3
6806	luggag	1
6807	lui	8
6808	lukin	1
6809	lumber	3
6810	lumberjack	1
6811	luna	1
6812	lunch	12
6813	luncheon	3
6814	lunchtim	2
6815	lung	9
6816	luong	6
6817	lurid	1
6818	lurin	1
6819	lush	1
6820	lust	1
6821	luther	2
6822	lutheran	1
6823	luxembourg	3
6824	luxor	2
6825	luxuri	5
6826	lvador	1
6827	lwrlwr	1
6828	lyhoogatnytimescom	1
6829	lynch	2
6830	lyndon	8
6831	lynn	2
6832	lyon	1
6833	lyric	3
6834	ma	1
6835	mac	4
6836	macarthur	1
6837	macdonald	4
6838	maceda	11
6839	macedonia	2
6840	machaca	3
6841	machet	6
6842	machin	23
6843	machineri	4
6844	machinist	1
6845	mack	8
6846	macon	1
6847	mad	4
6848	madden	1
6849	maddock	1
6850	madelein	42
6851	madelin	4
6852	madinat	1
6853	madison	3
6854	madix	1
6855	madra	4
6856	madrassah	1
6857	madrid	14
6858	maelstrom	1
6859	mafia	3
6860	magana	6
6861	maganbhai	4
6862	magazin	13
6863	mager	1
6864	maggi	1
6865	magic	2
6866	magistr	3
6867	magnanim	3
6868	magnat	3
6869	magnet	1
6870	magnifi	4
6871	magnific	1
6872	magnitogorsk	2
6873	magnitud	59
6874	magnu	14
6875	magnum	4
6876	mahajan	2
6877	mahatma	1
6878	mahesh	1
6879	mahmood	1
6880	mahmoud	1
6881	mahogani	1
6882	mahopac	1
6883	mahur	3
6884	maiden	1
6885	mail	14
6886	maim	3
6887	main	117
6888	mainagashev	1
6889	mainland	1
6890	mainstay	1
6891	maintain	48
6892	mainten	19
6893	mainupl	1
6894	maj	5
6895	majdanpek	1
6896	majoli	6
6897	major	198
6898	majorityalbanian	1
6899	majorparti	1
6900	maker	2
6901	makeshift	17
6902	maketa	1
6903	makeup	1
6904	malaysia	4
6905	malaysian	3
6906	malca	1
6907	malcolm	2
6908	male	2
6909	malevol	4
6910	malfunct	13
6911	malhotra	1
6912	mali	3
6913	malic	2
6914	maliss	1
6915	malivai	1
6916	mall	5
6917	malnourish	1
6918	malnutrit	1
6919	malon	1
6920	maloney	2
6921	mama	1
6922	mamad	2
6923	mamansk	1
6924	mammoth	2
6925	man	18
6926	manag	88
6927	manama	4
6928	mananga	1
6929	manannikova	1
6930	manau	1
6931	manchest	1
6932	mandat	9
6933	mandatori	7
6934	mandela	1
6935	maneuv	27
6936	mangal	1
6937	mangl	12
6938	mangu	1
6939	manhattan	10
6940	manhunt	27
6941	mania	3
6942	manifest	1
6943	manifold	1
6944	manind	1
6945	manipul	27
6946	manmad	2
6947	mann	4
6948	manner	15
6949	manorama	1
6950	mansfield	1
6951	mansi	1
6952	mansion	21
6953	mansiz	2
6954	mansoob	1
6955	mansoon	1
6956	mantra	4
6957	manual	2
6958	manuel	5
6959	manufactur	12
6960	maoist	2
6961	map	8
6962	maquiladora	1
6963	mar	20
6964	maradiaga	1
6965	maraniss	1
6966	marat	27
6967	marathon	6
6968	marbella	1
6969	marbl	2
6970	marblehal	1
6971	marburi	1
6972	marc	23
6973	marcela	1
6974	marcelo	2
6975	march	59
6976	marchenko	1
6977	marcher	6
6978	marci	1
6979	marco	7
6980	marg	1
6981	margaret	4
6982	margin	25
6983	margolin	2
6984	mari	27
6985	maria	13
6986	mariam	1
6987	mariana	2
6988	mariano	1
6989	marietta	3
6990	marija	1
6991	marijuana	5
6992	marilyn	4
6993	marin	39
6994	marineborn	1
6995	mario	9
6996	marit	2
6997	maritim	17
6998	marjanov	2
6999	mark	85
7000	market	33
7001	marketplac	2
7002	marko	11
7003	markov	10
7004	marlborough	2
7005	marlen	2
7006	marlin	15
7007	marlton	1
7008	marmian	1
7009	maroon	1
7010	marquez	15
7011	marrero	2
7012	marri	7
7013	marriag	5
7014	marroquin	1
7015	marrow	1
7016	marsha	1
7017	marshal	12
7018	marshallfor	1
7019	marshallreport	1
7020	marta	2
7021	martha	2
7022	marti	1
7023	martial	1
7024	martin	20
7025	martina	40
7026	martinez	8
7027	martyr	3
7028	martz	1
7029	marv	1
7030	marvel	2
7031	marxist	11
7032	maryland	3
7033	masia	1
7034	mask	5
7035	masondixon	3
7036	masonri	11
7037	masquerad	1
7038	mass	38
7039	massachusett	4
7040	massachusettss	1
7041	massacr	6
7042	masseus	1
7043	massi	2
7044	massif	1
7045	massiv	65
7046	mast	1
7047	master	10
7048	masteri	1
7049	mastermind	33
7050	mat	1
7051	match	70
7052	matchup	6
7053	mate	18
7054	materi	42
7055	math	1
7056	mathemat	3
7057	mathewson	2
7058	mathieu	1
7059	matic	4
7060	matt	1
7061	matter	76
7062	matteroffact	1
7063	matthew	8
7064	mattingli	1
7065	mattress	5
7066	matur	2
7067	mauresmo	6
7068	mauricio	1
7069	mauritania	4
7070	mauro	1
7071	mausoleum	3
7072	maxim	2
7073	maximalist	1
7074	maximum	20
7075	maximumsecur	17
7076	mayhem	3
7077	mayor	30
7078	maze	2
7079	mb	1
7080	mbeki	3
7081	mcalest	3
7082	mcarthur	1
7083	mcauliff	4
7084	mcavoy	1
7085	mccain	5
7086	mccarthi	2
7087	mcclean	1
7088	mcclure	1
7089	mccollum	7
7090	mccomb	1
7091	mcconnel	1
7092	mcdaniel	1
7093	mcdonald	2
7094	mcdoogl	3
7095	mcdougal	12
7096	mcduff	1
7097	mcduge	1
7098	mcenro	2
7099	mcgwire	2
7100	mci	1
7101	mcintosh	1
7102	mcnamara	1
7103	mcveigh	1
7104	md	6
7105	meager	2
7106	meal	6
7107	mean	11
7108	meaning	2
7109	meant	22
7110	measur	69
7111	meat	3
7112	mecca	2
7113	mechan	10
7114	mechanicsvil	3
7115	medal	10
7116	medalist	5
7117	media	68
7118	mediat	16
7119	medic	92
7120	medicar	13
7121	medicin	18
7122	medina	5
7123	medinat	2
7124	mediterranean	6
7125	medium	3
7126	mediumlevel	1
7127	mediumsecur	2
7128	meena	1
7129	meet	171
7130	megaphon	1
7131	megawatt	2
7132	meghann	3
7133	megrahi	1
7134	meguid	1
7135	mehta	3
7136	mei	1
7137	mel	67
7138	mela	3
7139	melancholi	1
7140	melbourn	28
7141	mele	7
7142	melissa	6
7143	mell	1
7144	mellman	1
7145	melros	1
7146	melt	3
7147	melvin	4
7148	membership	4
7149	memento	1
7150	memo	5
7151	memoir	1
7152	memor	4
7153	memorandum	1
7154	memori	58
7155	memphi	1
7156	men	34
7157	menac	1
7158	mend	3
7159	menet	1
7160	mengistu	1
7161	mensch	1
7162	mental	15
7163	mention	37
7164	mentor	1
7165	menu	2
7166	mer	1
7167	merced	3
7168	merchant	6
7169	merci	6
7170	merciless	1
7171	mere	4
7172	merg	3
7173	merger	2
7174	meri	2
7175	merianov	1
7176	merit	13
7177	merlin	1
7178	mermonsk	1
7179	mermosk	1
7180	mern	1
7181	merri	2
7182	mershon	8
7183	mesh	2
7184	mesmer	1
7185	mess	17
7186	messag	44
7187	messeng	1
7188	met	81
7189	metal	32
7190	metalcutt	1
7191	metaledg	1
7192	metallurg	2
7193	metalsl	1
7194	metaphor	3
7195	meteorolog	6
7196	meteorologist	3
7197	meter	2
7198	method	15
7199	methodist	2
7200	methodolog	1
7201	methyl	1
7202	meticul	4
7203	metropolitan	1
7204	mexican	4
7205	mexico	34
7206	mi	2
7207	mia	12
7208	miami	13
7209	miamid	1
7210	miamidad	2
7211	miand	1
7212	micandinov	1
7213	mich	7
7214	michael	45
7215	michal	3
7216	michel	4
7217	michella	1
7218	michigan	18
7219	mickelson	3
7220	mickli	1
7221	microphon	2
7222	microscop	2
7223	micunov	1
7224	mid	18
7225	midafternoon	6
7226	midday	12
7227	middecemb	2
7228	middl	125
7229	middleclass	8
7230	mideast	25
7231	midgulf	1
7232	midmorn	1
7233	midnight	19
7234	midnovemb	2
7235	midoctob	1
7236	midpoint	1
7237	midsect	3
7238	midseptemb	4
7239	midst	7
7240	midstream	1
7241	midway	2
7242	midweek	1
7243	midwest	3
7244	midwestern	1
7245	mif	1
7246	mift	1
7247	mig	1
7248	mighti	3
7249	migrant	2
7250	migrat	5
7251	miguel	11
7252	mihailova	1
7253	mihajlov	3
7254	miiltari	1
7255	mik	1
7256	mike	22
7257	mikhail	8
7258	mikhailov	1
7259	mikilo	1
7260	miklaszeski	1
7261	miklaszewski	14
7262	miklaszweski	1
7263	milagro	2
7264	milan	10
7265	milanko	1
7266	milanov	2
7267	mild	7
7268	mildli	1
7269	mildr	1
7270	mile	133
7271	milelong	3
7272	mileston	2
7273	milica	2
7274	milit	38
7275	militantli	2
7276	militar	3
7277	militari	281
7278	militarili	8
7279	militarystyl	1
7280	militarytim	1
7281	militia	2
7282	militiamen	1
7283	milivoj	1
7284	milivojev	1
7285	milk	1
7286	milken	17
7287	mill	4
7288	millenni	1
7289	millennium	4
7290	miller	6
7291	millimet	2
7292	million	24
7293	millionair	15
7294	milliondollar	1
7295	milo	3
7296	milosev	134
7297	miloseviccontrol	7
7298	milosov	1
7299	milovan	2
7300	milroy	1
7301	milutin	4
7302	milutinov	9
7303	milwauke	3
7304	min	1
7305	minaret	2
7306	minc	1
7307	mind	36
7308	minder	1
7309	mindset	1
7310	mine	46
7311	minefield	1
7312	mineinfest	1
7313	miner	20
7314	mineremov	1
7315	minesweep	1
7316	ming	1
7317	mingl	3
7318	minh	24
7319	miniatur	1
7320	minim	3
7321	minimum	13
7322	minist	171
7323	ministri	35
7324	minivan	1
7325	minn	3
7326	minneapoli	2
7327	minner	1
7328	minnesota	12
7329	minnesotan	1
7330	minor	39
7331	mint	1
7332	minu	6
7333	minut	103
7334	mira	3
7335	miracl	10
7336	miracul	6
7337	miranda	3
7338	mirco	1
7339	miriam	1
7340	mirjana	9
7341	mirko	2
7342	miroljub	1
7343	miroslav	2
7344	miroslava	2
7345	mirror	3
7346	misappli	2
7347	miscalcul	1
7348	misconduct	1
7349	misconstru	1
7350	miscu	1
7351	misde	2
7352	misdemeanor	8
7353	miser	4
7354	miseri	1
7355	misfir	3
7356	misfortun	1
7357	misguid	1
7358	misha	2
7359	mishandl	6
7360	mishap	1
7361	mishra	1
7362	misinform	2
7363	misl	2
7364	mislead	1
7365	mismanag	3
7366	mismatch	4
7367	misnom	1
7368	mispronounc	1
7369	misrepres	1
7370	misrepresent	1
7371	miss	137
7372	missil	52
7373	mission	55
7374	missionari	3
7375	mississippi	13
7376	missouri	67
7377	missourian	6
7378	missouricolumbia	1
7379	misspel	1
7380	misstat	3
7381	misstep	2
7382	mistak	32
7383	mistaken	3
7384	mistreat	4
7385	mistress	6
7386	mistrust	1
7387	misunderstand	3
7388	misunderstood	4
7389	misus	2
7390	mitch	5
7391	mitchel	7
7392	mitic	2
7393	mitig	5
7394	mitra	1
7395	mitrovica	1
7396	mittman	1
7397	mix	26
7398	mixtur	3
7399	mladic	2
7400	mladjan	3
7401	mo	5
7402	moammar	1
7403	moan	1
7404	mob	27
7405	mobil	17
7406	mock	5
7407	mockeri	1
7408	mode	4
7409	model	12
7410	moder	29
7411	modern	24
7412	modest	7
7413	modifi	6
7414	mofrt	1
7415	mogul	5
7416	moham	24
7417	mohammad	1
7418	mohm	1
7419	mohsen	3
7420	moin	1
7421	molass	1
7422	mold	1
7423	mole	1
7424	molest	1
7425	molotov	1
7426	mom	5
7427	momcilo	1
7428	moment	110
7429	momentbymo	1
7430	moments	1
7431	momentum	12
7432	momir	5
7433	mommi	1
7434	mona	1
7435	monarch	1
7436	monarchi	1
7437	monasteri	1
7438	monday	207
7439	monetari	13
7440	money	110
7441	moneylaund	6
7442	mong	1
7443	monger	1
7444	monica	32
7445	moniqu	1
7446	monitor	15
7447	monopol	1
7448	monoxid	2
7449	monsignor	1
7450	mont	1
7451	montana	9
7452	montecino	5
7453	montelo	1
7454	montenegrin	7
7455	montenegro	23
7456	montesino	41
7457	montesinoss	1
7458	montesseno	1
7459	montgomeri	2
7460	month	261
7461	monthli	1
7462	monthlong	2
7463	monthold	6
7464	monticello	1
7465	montonegro	1
7466	montono	1
7467	montoursvil	1
7468	monument	3
7469	moo	1
7470	mood	19
7471	moolgd	1
7472	moon	1
7473	mooney	1
7474	mooni	1
7475	moor	35
7476	moorin	1
7477	moot	1
7478	mope	1
7479	moral	38
7480	morali	1
7481	morariu	4
7482	moratorium	5
7483	morelimit	1
7484	moreno	8
7485	moresmo	1
7486	morgan	1
7487	morgu	8
7488	mori	5
7489	morison	1
7490	mork	1
7491	morn	138
7492	moroccan	1
7493	morocco	8
7494	moros	1
7495	morph	1
7496	morrano	1
7497	morri	2
7498	morrisvil	2
7499	mortal	2
7500	mortar	4
7501	morton	3
7502	moscow	79
7503	mosqu	14
7504	mosquito	1
7505	mossad	1
7506	mostvisit	1
7507	mostwant	7
7508	motahar	1
7509	motel	8
7510	motelapart	1
7511	moth	1
7512	mother	64
7513	motherland	1
7514	motherless	1
7515	motion	11
7516	motiv	19
7517	motley	1
7518	motor	19
7519	motorbik	1
7520	motorcad	11
7521	motorcycl	6
7522	motorist	1
7523	motsak	4
7524	motto	2
7525	mound	11
7526	mount	38
7527	mountain	37
7528	mountainsid	6
7529	mountaintop	1
7530	mourn	21
7531	mourner	12
7532	mourton	1
7533	mouth	4
7534	mouthpiec	3
7535	move	211
7536	movement	37
7537	mover	3
7538	movi	9
7539	moviestar	1
7540	mow	2
7541	moya	10
7542	moynihan	5
7543	moyo	1
7544	mozambiqu	2
7545	mph	16
7546	mrclinton	1
7547	ms	4
7548	msnbc	3
7549	msnbccom	2
7550	mtv	1
7551	mubarak	6
7552	muchawait	1
7553	muchtalkedabout	1
7554	mud	23
7555	mudbrick	2
7556	mudcov	1
7557	muddi	4
7558	muddl	3
7559	mudslid	5
7560	mueller	5
7561	muezzin	1
7562	muffl	3
7563	mugab	1
7564	muham	1
7565	muhammad	7
7566	mujahedeen	1
7567	mujahedin	1
7568	mujahid	1
7569	mull	3
7570	mullah	1
7571	mulligan	1
7572	mullin	9
7573	mulshankar	3
7574	multifacet	2
7575	multilingu	1
7576	multimillion	1
7577	multimillionair	3
7578	multimilliondollar	2
7579	multin	4
7580	multiparti	2
7581	multipl	11
7582	multipli	1
7583	multistori	7
7584	multitud	2
7585	mum	2
7586	mumbai	1
7587	munchak	1
7588	mundan	2
7589	munich	1
7590	municip	17
7591	munit	3
7592	muprhi	1
7593	muqbel	1
7594	murder	52
7595	murdoch	1
7596	murk	1
7597	murki	3
7598	murmansk	5
7599	murmosk	1
7600	murousi	1
7601	murphi	21
7602	murray	2
7603	murtza	1
7604	muscl	4
7605	muscular	1
7606	muse	1
7607	museum	7
7608	museummuslim	1
7609	musharraf	4
7610	music	13
7611	musician	2
7612	muslim	58
7613	mustach	2
7614	muster	1
7615	mustnt	3
7616	mute	9
7617	mutil	2
7618	mutin	1
7619	mutini	7
7620	muttawakil	1
7621	mutter	1
7622	mutual	1
7623	myakka	1
7624	myasthenia	1
7625	mydan	1
7626	myer	4
7627	myong	2
7628	mysteri	17
7629	mystiqu	1
7630	myth	2
7631	mythic	1
7632	naacp	1
7633	nab	2
7634	nabil	1
7635	nachtig	4
7636	nacion	1
7637	nadejda	1
7638	nader	12
7639	nadia	1
7640	nadler	1
7641	nadu	1
7642	nagel	1
7643	nagl	1
7644	nagyova	3
7645	nailbit	1
7646	nailstud	2
7647	naina	5
7648	nainabehn	1
7649	nairobi	6
7650	nairri	1
7651	naiv	1
7652	naji	1
7653	najjar	1
7654	nake	2
7655	nam	4
7656	namast	1
7657	nambiar	1
7658	name	81
7659	namesak	1
7660	namrata	5
7661	nanci	3
7662	nanni	1
7663	nanuet	1
7664	naoya	1
7665	nap	2
7666	narayan	2
7667	narayanan	1
7668	narbheram	1
7669	narcot	13
7670	narr	1
7671	narrow	28
7672	narrowlan	1
7673	narrowli	9
7674	nasa	1
7675	nasdaq	1
7676	nashvil	7
7677	nasir	1
7678	nasr	1
7679	nassou	2
7680	nasti	1
7681	nastier	1
7682	natalia	1
7683	nath	1
7684	nati	1
7685	nation	332
7686	nationalist	15
7687	nationwid	21
7688	nativ	18
7689	nato	47
7690	natol	1
7691	natta	1
7692	natter	11
7693	natur	48
7694	nauf	1
7695	navajo	4
7696	naval	108
7697	navarro	1
7698	navasota	1
7699	navel	1
7700	navi	230
7701	navig	2
7702	navnirman	1
7703	navrotski	8
7704	navyblu	1
7705	navyl	1
7706	navymen	2
7707	navytown	1
7708	nazi	3
7709	nb	1
7710	nbc	65
7711	nbcnew	1
7712	nc	5
7713	ne	1
7714	near	4
7715	nearbi	66
7716	nearest	1
7717	nearmiracul	1
7718	nearsavag	2
7719	neat	4
7720	neatli	1
7721	neb	1
7722	nebojsa	15
7723	nebraska	4
7724	necess	2
7725	necessit	3
7726	neck	6
7727	neckandneck	3
7728	ned	1
7729	needi	1
7730	neediest	1
7731	needl	1
7732	neeman	1
7733	neg	12
7734	negat	1
7735	neglect	2
7736	neglig	4
7737	negoti	63
7738	neighbor	83
7739	neighborhood	54
7740	neighborli	5
7741	nelli	1
7742	nelson	8
7743	nemesi	4
7744	nemeth	1
7745	nena	1
7746	nenad	10
7747	nenadov	1
7748	nene	1
7749	neocommunist	7
7750	nepal	8
7751	nephew	5
7752	neruda	2
7753	nerv	5
7754	nervou	12
7755	nervous	4
7756	nese	1
7757	ness	1
7758	nest	1
7759	net	81
7760	netherland	15
7761	network	61
7762	neutral	4
7763	nevada	7
7764	neversayquit	1
7765	nevypolneniy	1
7766	newark	1
7767	newburi	21
7768	newcomb	1
7769	newfound	2
7770	newli	34
7771	newlyw	2
7772	newport	2
7773	news	346
7774	newscast	7
7775	newscom	1
7776	newslett	4
7777	newsmagazin	1
7778	newspap	58
7779	newspet	2
7780	newsroom	1
7781	newsstand	1
7782	newsweek	3
7783	newswir	1
7784	nextdoor	2
7785	nextofkin	1
7786	nexttolast	1
7787	nfl	1
7788	ng	2
7789	ngan	1
7790	ngo	2
7791	ngoc	2
7792	nguessan	2
7793	nguyen	4
7794	nhan	1
7795	nhema	1
7796	ni	10
7797	nic	1
7798	nicaragua	3
7799	nice	10
7800	niceti	1
7801	nich	1
7802	nichola	2
7803	nick	4
7804	nicknam	5
7805	nicodem	2
7806	nicol	3
7807	nicola	8
7808	nidal	1
7809	niec	1
7810	nielsen	1
7811	nien	2
7812	nieto	1
7813	nigeria	7
7814	nigerian	1
7815	night	196
7816	nightclub	3
7817	nightfal	3
7818	nightgown	2
7819	nightli	2
7820	nightmar	6
7821	nightmarish	1
7822	nighttim	5
7823	nighttimeincloud	1
7824	nightvis	1
7825	nikit	1
7826	nikol	2
7827	nikola	3
7828	niksic	2
7829	nimesh	1
7830	nin	2
7831	nina	5
7832	ninehour	1
7833	ninepag	1
7834	ninepoint	1
7835	ninestori	1
7836	nineyearold	1
7837	nino	1
7838	ninth	20
7839	nip	2
7840	nirmala	1
7841	nissan	3
7842	nitex	2
7843	nitrat	1
7844	nittygritti	1
7845	nixon	17
7846	nj	6
7847	nm	1
7848	nn	1
7849	nobl	3
7850	nobleman	1
7851	nobodi	3
7852	nod	2
7853	noi	1
7854	nois	6
7855	noisi	1
7856	nolan	1
7857	noman	1
7858	nomin	17
7859	nomine	14
7860	nonchalantli	1
7861	nonclassifi	1
7862	nonclear	1
7863	noncommiss	1
7864	nondiscrimin	1
7865	nonessenti	3
7866	nonexist	5
7867	nongover	1
7868	nongovern	2
7869	nongovernment	1
7870	nonjew	1
7871	nonjewish	1
7872	nonmilitari	1
7873	nonmuslim	1
7874	nonneman	1
7875	nonpartisan	6
7876	nonpolit	2
7877	nonprofit	3
7878	nonsaudi	1
7879	nonsens	1
7880	nonspecif	1
7881	nonstat	1
7882	nonstop	4
7883	nonviol	8
7884	nonword	1
7885	nonyemeni	9
7886	noon	13
7887	norah	1
7888	norfolk	67
7889	norm	3
7890	normal	46
7891	normalci	1
7892	norman	19
7893	north	78
7894	northeast	10
7895	northeastern	6
7896	northern	59
7897	northernbas	3
7898	northup	4
7899	northward	1
7900	northwest	17
7901	northwestern	3
7902	norton	1
7903	norway	14
7904	norwegian	43
7905	norwegianown	1
7906	nose	3
7907	noshow	1
7908	nostalgia	1
7909	notabl	10
7910	notch	4
7911	note	50
7912	notebook	2
7913	notic	19
7914	notif	1
7915	notifi	20
7916	notion	4
7917	notori	6
7918	notorieti	1
7919	notr	2
7920	notwithstand	2
7921	nov	38
7922	novelist	2
7923	novemb	34
7924	novi	4
7925	novic	1
7926	novost	1
7927	novosti	3
7928	novot	1
7929	now	2
7930	nowaday	1
7931	nowdefunct	1
7932	nowdemolish	1
7933	nowdisqualifi	2
7934	nowfugit	1
7935	nowoust	3
7936	npr	9
7937	ns	2
7938	ntsb	5
7939	nuanc	1
7940	nuclear	48
7941	nuclearpow	4
7942	nude	1
7943	nudg	3
7944	nuffer	1
7945	null	1
7946	nullifi	9
7947	numb	1
7948	number	4
7949	numer	21
7950	nun	1
7951	nuria	3
7952	nurs	8
7953	nurtur	2
7954	nuvajubhai	1
7955	nw	1
7956	ny	22
7957	oa	2
7958	oakland	1
7959	oasi	2
7960	oath	13
7961	oathtak	1
7962	oaxa	1
7963	obannon	1
7964	obedi	2
7965	obey	9
7966	obituari	1
7967	object	36
7968	oblig	9
7969	obliqu	1
7970	obliter	2
7971	obrad	1
7972	obradov	3
7973	obrenovac	1
7974	obrien	1
7975	obscen	2
7976	obscur	5
7977	observ	45
7978	observatori	1
7979	obsess	2
7980	obstacl	14
7981	obstinaci	1
7982	obstruct	3
7983	obstructionist	1
7984	obtain	16
7985	obviou	12
7986	obyazatelstv	1
7987	occas	19
7988	occasion	14
7989	occup	9
7990	occupi	16
7991	occur	67
7992	ocean	13
7993	ochoa	3
7994	oclock	2
7995	oconnel	1
7996	oct	112
7997	octob	75
7998	octopu	3
7999	odd	10
8000	odeh	1
8001	odium	1
8002	odlon	1
8003	odolon	1
8004	odonnel	3
8005	offbal	1
8006	offcamera	1
8007	offenc	1
8008	offend	13
8009	offens	16
8010	offer	128
8011	offic	364
8012	offici	496
8013	offpost	1
8014	offseason	2
8015	offshoot	1
8016	offshor	12
8017	offthecuff	1
8018	ofici	1
8019	oftenthuggish	2
8020	ofussia	1
8021	ogen	1
8022	ognjen	1
8023	ohio	9
8024	oik	1
8025	oil	43
8026	oilconsum	1
8027	oildril	1
8028	oiler	2
8029	oilfield	1
8030	oili	4
8031	oilproduc	2
8032	oilrich	3
8033	oiltrad	1
8034	ojdan	3
8035	okaz	1
8036	okeef	1
8037	okla	2
8038	oklahoma	13
8039	oklia	1
8040	olden	1
8041	oldfashion	1
8042	oldstyl	1
8043	oldtim	1
8044	oleg	2
8045	olga	3
8046	oliv	4
8047	oliva	2
8048	olivegreen	1
8049	olivera	5
8050	olivo	1
8051	oloroc	1
8052	olsen	3
8053	olson	1
8054	olymp	16
8055	olympia	3
8056	olympian	1
8057	om	1
8058	omah	1
8059	oman	4
8060	omar	9
8061	ombudsman	4
8062	omen	3
8063	omin	2
8064	omiss	2
8065	omnivor	1
8066	onal	1
8067	onboard	4
8068	oncebustl	1
8069	oncedomin	1
8070	onceformid	2
8071	oncefriendli	1
8072	oncemargin	1
8073	oncepow	2
8074	oncepromin	3
8075	oncourt	2
8076	onebyon	1
8077	oneday	5
8078	onehour	2
8079	oneil	5
8080	oneinch	1
8081	oneparti	1
8082	onequart	3
8083	oneroom	1
8084	onesid	1
8085	onetenth	1
8086	onethird	3
8087	onetim	20
8088	onevot	1
8089	oneway	1
8090	oneyear	1
8091	ong	1
8092	ongo	14
8093	onkar	1
8094	onlin	1
8095	onlook	9
8096	onscen	1
8097	onsit	1
8098	onslaught	1
8099	onward	1
8100	op	1
8101	opec	1
8102	open	14
8103	openair	7
8104	openfront	2
8105	openli	16
8106	openspac	1
8107	oper	161
8108	opera	2
8109	opinion	23
8110	oppon	75
8111	opportun	30
8112	oppos	42
8113	opposit	186
8114	oppositioncontrol	5
8115	oppositionl	1
8116	oppositionrun	2
8117	opt	5
8118	optic	2
8119	optim	4
8120	optimist	12
8121	option	39
8122	opul	3
8123	oracl	1
8124	oral	1
8125	orang	9
8126	orangereddish	1
8127	orano	1
8128	orat	2
8129	oratori	1
8130	orbit	1
8131	orchard	1
8132	orchestr	4
8133	ordeal	5
8134	orderli	6
8135	ordin	1
