t_index	term	df
1042	behalf	8
1043	behan	1
1044	behari	3
1045	behav	9
1046	behavior	10
1047	behindthescen	2
1048	beholden	3
1049	beij	3
1050	beirut	9
1051	bekki	3
1052	belaru	1
1053	belch	1
1054	beleagu	3
1055	belgian	5
1056	belgium	6
1057	belgrad	100
1058	beli	1
1059	belida	3
1060	belief	17
1061	believ	180
1062	belittl	1
1063	bell	4
1064	belliger	1
1065	belong	31
1066	belov	5
1067	belt	8
1068	bema	2
1069	bemoan	1
1070	ben	5
1071	bench	4
1072	benchmark	1
1073	bend	2
1074	beneath	31
1075	benefactor	2
1076	benefici	1
1077	beneficiari	1
1078	benefit	17
1079	benevol	7
1080	benign	1
1081	benin	8
1082	benito	1
1083	benjamin	2
1084	bennett	1
1085	benni	1
1086	bent	13
1087	benton	1
1088	bequeath	1
1089	berat	1
1090	bere	1
1091	beresich	1
1092	beretta	1
1093	bergen	1
1094	berger	25
1095	berlin	8
1096	bernstein	2
1097	bershard	1
1098	bershevski	1
1099	berth	2
1100	beschloss	1
1101	beset	2
1102	besieg	4
1103	bespectacl	2
1104	best	1
1105	bestequip	1
1106	bestkept	1
1107	bestknown	6
1108	bet	4
1109	beta	7
1110	betajon	1
1111	beth	1
1112	betray	4
1113	betrisia	1
1114	bettertrain	1
1115	bevan	1
1116	beveneari	1
1117	bewild	1
1118	bhaba	2
1119	bhachau	4
1120	bhagat	1
1121	bhakta	1
1122	bharatiya	3
1123	bharpi	3
1124	bhaskar	5
1125	bhat	1
1126	bhatt	1
1127	bhavesh	1
1128	bhowmik	1
1129	bhug	1
1130	bhuj	33
1131	bia	1
1132	biafran	2
1133	biarritz	3
1134	bias	8
1135	bibl	4
1136	bibleread	1
1137	biblic	1
1138	bicker	3
1139	bicycl	5
1140	bid	50
1141	bidanora	1
1142	bigciti	1
1143	bigger	8
1144	biggest	39
1145	bigot	1
1146	bigticket	1
1147	bihari	10
1148	bilater	8
1149	bilingu	1
1150	bill	68
1151	billboard	2
1152	billet	1
1153	billi	4
1154	billion	54
1155	billionair	9
1156	billiondollar	5
1157	billow	13
1158	biltera	1
1159	bimal	2
1160	bin	87
1161	bind	5
1162	bindra	3
1163	bingaman	2
1164	bingo	1
1165	binladen	1
1166	binocular	5
1167	biogeneticist	1
1168	biograph	3
1169	biographi	4
1170	biolog	4
1171	bion	1
1172	bipartisan	2
1173	bipartisanship	1
1174	bird	3
1175	birger	1
1176	birth	9
1177	birthday	6
1178	birthmark	1
1179	birthplac	1
1180	biscuit	3
1181	bishop	2
1182	bit	46
1183	bite	2
1184	bitka	1
1185	bitten	1
1186	bitter	19
1187	bitterli	10
1188	bittersweet	2
1189	bizarr	10
1190	bjorn	1
1191	black	57
1192	blackclad	1
1193	blacken	4
